time_est,est_hour,weekday_est,movement,count
1486370601960,8,1,0,1
1486370601968,8,1,0,1
1486370649006,8,1,0,1
1486370649013,8,1,0,1
1486371108198,8,1,0,1
1486371204821,8,1,0,1
1486371250557,8,1,0,1
1486371408290,8,1,0,1
1486371551311,8,1,0,1
1486973265873,8,1,0,1
1486973265896,8,1,0,1
1486973270676,8,1,0,1
1486973270682,8,1,0,1
1486973694884,8,1,0,1
1486973709179,8,1,0,1
1486973728551,8,1,0,1
1486973735088,8,1,0,1
1486973770470,8,1,0,1
1486973778891,8,1,0,1
1486973786903,8,1,0,1
1486973809374,8,1,0,1
1486973816595,8,1,0,1
1486973824648,8,1,0,1
1486973952300,8,1,0,1
1486974005276,8,1,0,1
1486974005283,8,1,0,1
1486974071689,8,1,0,1
1486974106534,8,1,0,1
1486974131044,8,1,0,1
1486974137539,8,1,0,1
1486974175461,8,1,0,1
1486974215291,8,1,0,1
1486974221771,8,1,0,1
1486974261231,8,1,0,1
1486974267676,8,1,0,1
1486974274162,8,1,0,1
1486974274166,8,1,0,1
1486974287205,8,1,0,1
1486974375418,8,1,0,1
1486974382021,8,1,0,1
1486974423304,8,1,0,1
1486974443022,8,1,0,1
1486974476956,8,1,0,1
1486974476961,8,1,0,1
1486974589721,8,1,0,1
1486974609367,8,1,0,1
1486974629176,8,1,0,1
1486974637109,8,1,0,1
1486974682357,8,1,0,1
1486974688903,8,1,0,1
1486974695904,8,1,0,1
1486974755817,8,1,0,1
1486974775666,8,1,0,1
1486974782239,8,1,0,1
1486974880468,8,1,0,1
1486974938875,8,1,0,1
1486974945350,8,1,0,1
1486975036979,8,1,0,1
1486975433682,8,1,0,1
1486975600666,8,1,0,1
1486975646607,8,1,0,1
1486975650137,8,1,0,1
1486975726097,8,1,0,1
1486975726147,8,1,0,1
1486975726610,8,1,0,1
1486975844091,8,1,0,1
1486975844096,8,1,0,1
1486975888653,8,1,0,1
1486975888693,8,1,0,1
1486975910923,8,1,0,1
1486975910979,8,1,0,1
1486975910986,8,1,0,1
1486975910990,8,1,0,1
1486975910994,8,1,0,1
1486975911250,8,1,0,1
1486975911267,8,1,0,1
1486975911273,8,1,0,1
1486975911278,8,1,0,1
1486975911284,8,1,0,1
1486975930360,8,1,0,1
1486975930364,8,1,0,1
1486976027936,8,1,0,1
1486976027960,8,1,0,1
1486976211444,8,1,0,1
1486976211450,8,1,0,1
1486976257361,8,1,0,1
1486976257381,8,1,0,1
1486976271625,8,1,0,1
1486976271630,8,1,0,1
1486976271649,8,1,0,1
1486976271653,8,1,0,1
1486976328096,8,1,0,1
1486976328103,8,1,0,1
1487578114021,8,1,0,1
1487578114032,8,1,0,1
1487578114036,8,1,0,1
1487578114041,8,1,0,1
1487578114044,8,1,0,1
1487578114194,8,1,0,1
1487578114199,8,1,0,1
1487578511748,8,1,0,1
1487578531172,8,1,0,1
1487578537632,8,1,0,1
1487578544223,8,1,0,1
1487578594254,8,1,0,1
1487578609339,8,1,0,1
1487578630262,8,1,0,1
1487578643205,8,1,0,1
1487578643210,8,1,0,1
1487578698261,8,1,0,1
1487578791516,8,1,0,1
1487578798060,8,1,0,1
1487578804755,8,1,0,1
1487578877324,8,1,0,1
1487578890390,8,1,0,1
1487578916455,8,1,0,1
1487578935951,8,1,0,1
1487579001794,8,1,0,1
1487579008297,8,1,0,1
1487579040660,8,1,0,1
1487579040664,8,1,0,1
1487579065649,8,1,0,1
1487579078690,8,1,0,1
1487579085147,8,1,0,1
1487579172730,8,1,0,1
1487579206040,8,1,0,1
1487579219160,8,1,0,1
1487579238942,8,1,0,1
1487579269057,8,1,0,1
1487579317219,8,1,0,1
1487579317224,8,1,0,1
1487579344204,8,1,0,1
1487579391042,8,1,0,1
1487579398873,8,1,0,1
1487579411971,8,1,0,1
1487579418456,8,1,0,1
1487579425032,8,1,0,1
1487579540686,8,1,0,1
1487579553833,8,1,0,1
1487579560379,8,1,0,1
1487579644885,8,1,0,1
1487579690553,8,1,0,1
1487579742670,8,1,0,1
1487579788684,8,1,0,1
1487580155901,8,1,0,1
1487580276818,8,1,0,1
1487580283339,8,1,0,1
1487580329072,8,1,0,1
1487580394556,8,1,0,1
1487580499728,8,1,0,1
1487580506332,8,1,0,1
1487578584002,8,1,2,1
1486371671259,9,1,0,1
1486371671282,9,1,0,1
1486371671286,9,1,0,1
1486371671290,9,1,0,1
1486371851893,9,1,0,1
1486371851899,9,1,0,1
1486371971327,9,1,0,1
1486371971333,9,1,0,1
1486372152471,9,1,0,1
1486372152489,9,1,0,1
1486372198608,9,1,0,1
1486372198614,9,1,0,1
1486372453192,9,1,0,1
1486372498694,9,1,0,1
1486372750554,9,1,0,1
1486372753862,9,1,0,1
1486372798762,9,1,0,1
1486372821981,9,1,0,1
1486372821986,9,1,0,1
1486373054493,9,1,0,1
1486373054498,9,1,0,1
1486373122057,9,1,0,1
1486373122062,9,1,0,1
1486373355279,9,1,0,1
1486373355288,9,1,0,1
1486373422122,9,1,0,1
1486373422129,9,1,0,1
1486373655981,9,1,0,1
1486373655987,9,1,0,1
1486976571751,9,1,0,1
1486976628785,9,1,0,1
1486976824568,9,1,0,1
1486976824578,9,1,0,1
1486976824592,9,1,0,1
1486976824597,9,1,0,1
1486976836071,9,1,0,1
1486976836089,9,1,0,1
1486976836095,9,1,0,1
1486976929439,9,1,0,1
1486976929462,9,1,0,1
1486977136182,9,1,0,1
1486977136189,9,1,0,1
1486977230327,9,1,0,1
1486977230337,9,1,0,1
1486977436211,9,1,0,1
1486977436219,9,1,0,1
1486977500392,9,1,0,1
1486977500410,9,1,0,1
1486977500415,9,1,0,1
1486977500422,9,1,0,1
1486977530915,9,1,0,1
1486977530965,9,1,0,1
1486977790942,9,1,0,1
1486977790948,9,1,0,1
